Id,Time[ns],0:UART: RX/TX
2315,12324174000.00,[20]
2316,12324260800.00,m
2317,12324347400.00,e
2318,12324434200.00,m
2319,12324520800.00,:
2320,12324607400.00,[20]
2321,12324694200.00,i
2322,12324780800.00,n
2323,12324867600.00,i
2324,12324954200.00,t
2325,12325040800.00,i
2326,12325127600.00,a
2327,12325214200.00,l
2328,12325300800.00,i
2329,12325387600.00,z
2330,12325474200.00,e
2331,12325561000.00,d
2332,12325647600.00,[20]
2333,12325734200.00,n
2334,12325821000.00,o
2335,12325907600.00,d
2336,12325994400.00,e
2337,12326081000.00,[20]
2338,12326167600.00,c
2339,12326254400.00,m
2340,12326341000.00,a
2341,12326427600.00,@
2342,12326514400.00,4
2343,12326601000.00,a
2344,12326687800.00,0
2345,12326774400.00,0
2346,12326861000.00,0
2347,12326947800.00,0
2348,12327034400.00,0
2349,12327121000.00,0
2350,12327207800.00,,
2351,12327294400.00,[20]
2352,12327381200.00,c
2353,12327467800.00,o
2354,12327554400.00,m
2355,12327641200.00,p
2356,12327727800.00,a
2357,12327814600.00,t
2358,12327901200.00,i
2359,12327987800.00,b
2360,12328074600.00,l
2361,12328161200.00,e
2362,12328247800.00,[20]
2363,12328334600.00,i
2364,12328421200.00,d
2365,12328508000.00,[20]
2366,12328594600.00,s
2367,12328681200.00,h
2368,12328768000.00,a
2369,12328854600.00,r
2370,12328941400.00,e
2371,12329028000.00,d
2372,12329114600.00,-
2373,12329201400.00,d
2374,12329288000.00,m
2375,12329374600.00,a
2376,12329461400.00,-
2377,12329548000.00,p
2378,12329634800.00,o
2379,12329721400.00,o
2380,12329808000.00,l
2381,12329894800.00,[0D]
2382,12329981400.00,[0A]
2383,12330089200.00,[
2384,12330176000.00,[20]
2385,12330262600.00,[20]
2386,12330349200.00,[20]
2387,12330436000.00,[20]
2388,12330522600.00,0
2389,12330609200.00,.
2390,12330696000.00,0
2391,12330782600.00,0
2392,12330869400.00,0
2393,12330956000.00,0
2394,12331042600.00,0
2395,12331129400.00,0
2396,12331216000.00,]
2397,12331302600.00,[20]
2398,12331389400.00,Z
2399,12331476000.00,o
2400,12331562800.00,n
2401,12331649400.00,e
2402,12331736000.00,[20]
2403,12331822800.00,r
2404,12331909400.00,a
2405,12331996200.00,n
2406,12332082800.00,g
2407,12332169400.00,e
2408,12332256200.00,s
2409,12332342800.00,:
2410,12332429400.00,[0D]
2411,12332516200.00,[0A]
2412,12332615800.00,[
2413,12332702600.00,[20]
2414,12332789200.00,[20]
2415,12332875800.00,[20]
2416,12332962600.00,[20]
2417,12333049200.00,0
2418,12333136000.00,.
2419,12333222600.00,0
2420,12333309200.00,0
2421,12333396000.00,0
2422,12333482600.00,0
2423,12333569200.00,0
2424,12333656000.00,0
2425,12333742600.00,]
2426,12333829400.00,[20]
2427,12333916000.00,[20]
2428,12334002600.00,[20]
2429,12334089400.00,N
2430,12334176000.00,o
2431,12334262800.00,r
2432,12334349400.00,m
2433,12334436000.00,a
2434,12334522800.00,l
2435,12334609400.00,[20]
2436,12334696000.00,[20]
2437,12334782800.00,[20]
2438,12334869400.00,[
2439,12334956200.00,m
2440,12335042800.00,e
2441,12335129400.00,m
2442,12335216200.00,[20]
2443,12335302800.00,0
2444,12335389400.00,x
2445,12335476200.00,0
2446,12335562800.00,0
2447,12335649600.00,0
2448,12335736200.00,0
2449,12335822800.00,0
2450,12335909600.00,0
2451,12335996200.00,0
2452,12336083000.00,0
2453,12336169600.00,4
2454,12336256200.00,0
2455,12336343000.00,0
2456,12336429600.00,0
2457,12336516200.00,0
2458,12336603000.00,0
2459,12336689600.00,0
2460,12336776400.00,0
2461,12336863000.00,-
2462,12336949600.00,0
2463,12337036400.00,x
2464,12337123000.00,0
2465,12337209800.00,0
2466,12337296400.00,0
2467,12337383000.00,0
2468,12337469800.00,0
2469,12337556400.00,0
2470,12337643000.00,0
2471,12337729800.00,0
2472,12337816400.00,6
2473,12337903200.00,f
2474,12337989800.00,f
2475,12338076400.00,f
2476,12338163200.00,f
2477,12338249800.00,f
2478,12338336400.00,f
2479,12338423200.00,f
2480,12338509800.00,]
2481,12338596600.00,[0D]
2482,12338683200.00,[0A]
2483,12338793200.00,[
2484,12338879800.00,[20]
2485,12338966600.00,[20]
2486,12339053200.00,[20]
2487,12339139800.00,[20]
2488,12339226600.00,0
2489,12339313200.00,.
2490,12339400000.00,0
2491,12339486600.00,0
2492,12339573200.00,0
2493,12339660000.00,0
2494,12339746600.00,0
2495,12339833200.00,0
2496,12339920000.00,]
2497,12340006600.00,[20]
2498,12340093400.00,[20]
2499,12340180000.00,[20]
2500,12340266600.00,H
2501,12340353400.00,i
2502,12340440000.00,g
2503,12340526800.00,h
2504,12340613400.00,M
2505,12340700000.00,e
2506,12340786800.00,m
2507,12340873400.00,[20]
2508,12340960000.00,[20]
2509,12341046800.00,[
2510,12341133400.00,m
2511,12341220200.00,e
2512,12341306800.00,m
2513,12341393400.00,[20]
2514,12341480200.00,0
2515,12341566800.00,x
2516,12341653600.00,0
2517,12341740200.00,0
2518,12341826800.00,0
2519,12341913600.00,0
2520,12342000200.00,0
2521,12342086800.00,0
2522,12342173600.00,0
2523,12342260200.00,0
2524,12342347000.00,7
2525,12342433600.00,0
2526,12342520200.00,0
2527,12342607000.00,0
2528,12342693600.00,0
2529,12342780200.00,0
2530,12342867000.00,0
2531,12342953600.00,0
2532,12343040400.00,-
2533,12343127000.00,0
2534,12343213600.00,x
2535,12343300400.00,0
2536,12343387000.00,0
2537,12343473800.00,0
2538,12343560400.00,0
2539,12343647000.00,0
2540,12343733800.00,0
2541,12343820400.00,0
2542,12343907000.00,0
2543,12343993800.00,7
2544,12344080400.00,f
2545,12344167200.00,f
2546,12344253800.00,f
2547,12344340400.00,f
2548,12344427200.00,f
2549,12344513800.00,f
2550,12344600600.00,f
2551,12344687200.00,]
2552,12344773800.00,[0D]
2553,12344860600.00,[0A]
2554,12344959600.00,[
2555,12345046400.00,[20]
2556,12345133000.00,[20]
2557,12345219800.00,[20]
2558,12345306400.00,[20]
2559,12345393000.00,0
2560,12345479800.00,.
2561,12345566400.00,0
2562,12345653000.00,0
2563,12345739800.00,0
2564,12345826400.00,0
2565,12345913200.00,0
2566,12345999800.00,0
2567,12346086400.00,]
2568,12346173200.00,[20]
2569,12346259800.00,M
2570,12346346400.00,o
2571,12346433200.00,v
2572,12346519800.00,a
2573,12346606600.00,b
2574,12346693200.00,l
2575,12346779800.00,e
2576,12346866600.00,[20]
2577,12346953200.00,z
2578,12347040000.00,o
2579,12347126600.00,n
2580,12347213200.00,e
2581,12347300000.00,[20]
2582,12347386600.00,s
2583,12347473200.00,t
2584,12347560000.00,a
2585,12347646600.00,r
2586,12347733400.00,t
2587,12347820000.00,[20]
2588,12347906600.00,f
2589,12347993400.00,o
2590,12348080000.00,r
2591,12348166800.00,[20]
2592,12348253400.00,e
2593,12348340000.00,a
2594,12348426800.00,c
2595,12348513400.00,h
2596,12348600000.00,[20]
2597,12348686800.00,n
2598,12348773400.00,o
2599,12348860200.00,d
2600,12348946800.00,e
2601,12349033400.00,[0D]
2602,12349120200.00,[0A]
2603,12349228400.00,[
2604,12349315200.00,[20]
2605,12349401800.00,[20]
2606,12349488600.00,[20]
2607,12349575200.00,[20]
2608,12349661800.00,0
2609,12349748600.00,.
2610,12349835200.00,0
2611,12349922000.00,0
2612,12350008600.00,0
2613,12350095200.00,0
2614,12350182000.00,0
2615,12350268600.00,0
2616,12350355200.00,]
2617,12350442000.00,[20]
2618,12350528600.00,E
2619,12350615400.00,a
2620,12350702000.00,r
2621,12350788600.00,l
2622,12350875400.00,y
2623,12350962000.00,[20]
2624,12351048600.00,m
2625,12351135400.00,e
2626,12351222000.00,m
2627,12351308800.00,o
2628,12351395400.00,r
2629,12351482000.00,y
2630,12351568800.00,[20]
2631,12351655400.00,n
2632,12351742200.00,o
2633,12351828800.00,d
2634,12351915400.00,e
2635,12352002200.00,[20]
2636,12352088800.00,r
2637,12352175400.00,a
2638,12352262200.00,n
2639,12352348800.00,g
2640,12352435600.00,e
2641,12352522200.00,s
2642,12352608800.00,[0D]
2643,12352695600.00,[0A]
2644,12352794200.00,[
2645,12352880800.00,[20]
2646,12352967600.00,[20]
2647,12353054200.00,[20]
2648,12353140800.00,[20]
2649,12353227600.00,0
2650,12353314200.00,.
2651,12353400800.00,0
2652,12353487600.00,0
2653,12353574200.00,0
2654,12353661000.00,0
2655,12353747600.00,0
2656,12353834200.00,0
2657,12353921000.00,]
2658,12354007600.00,[20]
2659,12354094200.00,[20]
2660,12354181000.00,[20]
2661,12354267600.00,n
2662,12354354400.00,o
2663,12354441000.00,d
2664,12354527600.00,e
2665,12354614400.00,[20]
2666,12354701000.00,[20]
2667,12354787800.00,[20]
2668,12354874400.00,0
2669,12354961000.00,:
2670,12355047800.00,[20]
2671,12355134400.00,[
2672,12355221000.00,m
2673,12355307800.00,e
2674,12355394400.00,m
2675,12355481200.00,[20]
2676,12355567800.00,0
2677,12355654400.00,x
2678,12355741200.00,0
2679,12355827800.00,0
2680,12355914600.00,0
2681,12356001200.00,0
2682,12356087800.00,0
2683,12356174600.00,0
2684,12356261200.00,0
2685,12356347800.00,0
2686,12356434600.00,4
2687,12356521200.00,0
2688,12356608000.00,0
2689,12356694600.00,0
2690,12356781200.00,0
2691,12356868000.00,0
2692,12356954600.00,0
2693,12357041200.00,0
2694,12357128000.00,-
2695,12357214600.00,0
2696,12357301400.00,x
2697,12357388000.00,0
2698,12357474600.00,0
2699,12357561400.00,0
2700,12357648000.00,0
2701,12357734800.00,0
2702,12357821400.00,0
2703,12357908000.00,0
2704,12357994800.00,0
2705,12358081400.00,7
2706,12358168000.00,f
2707,12358254800.00,f
2708,12358341400.00,f
2709,12358428200.00,f
2710,12358514800.00,f
2711,12358601400.00,f
2712,12358688200.00,f
2713,12358774800.00,]
2714,12358861600.00,[0D]
2715,12358948200.00,[0A]
2716,12359057000.00,[
2717,12359143800.00,[20]
2718,12359230400.00,[20]
2719,12359317200.00,[20]
2720,12359403800.00,[20]
2721,12359490400.00,0
2722,12359577200.00,.
2723,12359663800.00,0
2724,12359750400.00,0
2725,12359837200.00,0
2726,12359923800.00,0
2727,12360010600.00,0
2728,12360097200.00,0
2729,12360183800.00,]
2730,12360270600.00,[20]
2731,12360357200.00,I
2732,12360443800.00,n
2733,12360530600.00,i
2734,12360617200.00,t
2735,12360704000.00,m
2736,12360790600.00,e
2737,12360877200.00,m
2738,12360964000.00,[20]
2739,12361050600.00,s
2740,12361137400.00,e
2741,12361224000.00,t
2742,12361310600.00,u
2743,12361397400.00,p
2744,12361484000.00,[20]
2745,12361570600.00,n
2746,12361657400.00,o
2747,12361744000.00,d
2748,12361830800.00,e
2749,12361917400.00,[20]
2750,12362004000.00,0
2751,12362090800.00,[20]
2752,12362177400.00,[
2753,12362264200.00,m
2754,12362350800.00,e
2755,12362437400.00,m
2756,12362524200.00,[20]
2757,12362610800.00,0
2758,12362697400.00,x
2759,12362784200.00,0
2760,12362870800.00,0
2761,12362957600.00,0
2762,12363044200.00,0
2763,12363130800.00,0
2764,12363217600.00,0
2765,12363304200.00,0
2766,12363390800.00,0
2767,12363477600.00,4
2768,12363564200.00,0
2769,12363651000.00,0
2770,12363737600.00,0
2771,12363824200.00,0
2772,12363911000.00,0
2773,12363997600.00,0
2774,12364084400.00,0
2775,12364171000.00,-
2776,12364257600.00,0
2777,12364344400.00,x
2778,12364431000.00,0
2779,12364517600.00,0
2780,12364604400.00,0
2781,12364691000.00,0
2782,12364777800.00,0
2783,12364864400.00,0
2784,12364951000.00,0
2785,12365037800.00,0
2786,12365124400.00,7
2787,12365211200.00,f
2788,12365297800.00,f
2789,12365384400.00,f
2790,12365471200.00,f
2791,12365557800.00,f
2792,12365644400.00,f
2793,12365731200.00,f
2794,12365817800.00,]
2795,12365904600.00,[0D]
2796,12365991200.00,[0A]
2797,12366090800.00,[
2798,12366177600.00,[20]
2799,12366264200.00,[20]
2800,12366351000.00,[20]
2801,12366437600.00,[20]
2802,12366524200.00,0
2803,12366611000.00,.
2804,12366697600.00,0
2805,12366784200.00,0
2806,12366871000.00,0
2807,12366957600.00,0
2808,12367044400.00,0
2809,12367131000.00,0
2810,12367217600.00,]
2811,12367304400.00,[20]
2812,12367391000.00,p
2813,12367477600.00,s
2814,12367564400.00,c
2815,12367651000.00,i
2816,12367737800.00,:
2817,12367824400.00,[20]
2818,12367911000.00,p
2819,12367997800.00,r
2820,12368084400.00,o
2821,12368171200.00,b
2822,12368257800.00,i
2823,12368344400.00,n
2824,12368431200.00,g
2825,12368517800.00,[20]
2826,12368604400.00,f
2827,12368691200.00,o
2828,12368777800.00,r
2829,12368864600.00,[20]
2830,12368951200.00,c
2831,12369037800.00,o
2832,12369124600.00,n
2833,12369211200.00,d
2834,12369298000.00,u
2835,12369384600.00,i
2836,12369471200.00,t
2837,12369558000.00,[20]
2838,12369644600.00,m
2839,12369731200.00,e
2840,12369818000.00,t
2841,12369904600.00,h
2842,12369991400.00,o
2843,12370078000.00,d
2844,12370164600.00,[20]
2845,12370251400.00,f
2846,12370338000.00,r
2847,12370424800.00,o
2848,12370511400.00,m
2849,12370598000.00,[20]
2850,12370684800.00,D
2851,12370771400.00,T
2852,12370858000.00,.
2853,12370944800.00,[0D]
2854,12371031400.00,[0A]
2855,12371143600.00,[
2856,12371230200.00,[20]
2857,12371317000.00,[20]
2858,12371403600.00,[20]
2859,12371490200.00,[20]
2860,12371577000.00,0
2861,12371663600.00,.
2862,12371750400.00,0
2863,12371837000.00,0
2864,12371923600.00,0
2865,12372010400.00,0
2866,12372097000.00,0
2867,12372183600.00,0
2868,12372270400.00,]
2869,12372357000.00,[20]
2870,12372443800.00,p
2871,12372530400.00,s
2872,12372617000.00,c
2873,12372703800.00,i
2874,12372790400.00,:
2875,12372877200.00,[20]
2876,12372963800.00,U
2877,12373050400.00,s
2878,12373137200.00,i
2879,12373223800.00,n
2880,12373310400.00,g
2881,12373397200.00,[20]
2882,12373483800.00,P
2883,12373570600.00,S
2884,12373657200.00,C
2885,12373743800.00,I
2886,12373830600.00,[20]
2887,12373917200.00,v
2888,12374004000.00,0
2889,12374090600.00,.
2890,12374177200.00,1
2891,12374264000.00,[20]
2892,12374350600.00,F
2893,12374437200.00,u
2894,12374524000.00,n
2895,12374610600.00,c
2896,12374697400.00,t
2897,12374784000.00,i
2898,12374870600.00,o
2899,12374957400.00,n
2900,12375044000.00,[20]
2901,12375130600.00,I
2902,12375217400.00,D
2903,12375304000.00,s
2904,12375390800.00,[20]
2905,12375477400.00,f
2906,12375564000.00,r
2907,12375650800.00,o
2908,12375737400.00,m
2909,12375824200.00,[20]
2910,12375910800.00,D
2911,12375997400.00,T
2912,12376084200.00,[0D]
2913,12376170800.00,[0A]
2914,12376270000.00,[
2915,12376356600.00,[20]
2916,12376443400.00,[20]
2917,12376530000.00,[20]
2918,12376616600.00,[20]
2919,12376703400.00,0
2920,12376790000.00,.
2921,12376876600.00,0
2922,12376963400.00,0
2923,12377050000.00,0
2924,12377136800.00,0
2925,12377223400.00,0
2926,12377310000.00,0
2927,12377396800.00,]
2928,12377483400.00,[20]
2929,12377570000.00,p
2930,12377656800.00,e
2931,12377743400.00,r
2932,12377830200.00,c
2933,12377916800.00,p
2934,12378003400.00,u
2935,12378090200.00,:
2936,12378176800.00,[20]
2937,12378263600.00,E
2938,12378350200.00,m
2939,12378436800.00,b
2940,12378523600.00,e
2941,12378610200.00,d
2942,12378696800.00,d
2943,12378783600.00,e
2944,12378870200.00,d
2945,12378957000.00,[20]
2946,12379043600.00,1
2947,12379130200.00,5
2948,12379217000.00,[20]
2949,12379303600.00,p
2950,12379390400.00,a
2951,12379477000.00,g
2952,12379563600.00,e
2953,12379650400.00,s
2954,12379737000.00,/
2955,12379823600.00,c
2956,12379910400.00,p
2957,12379997000.00,u
2958,12380083800.00,[20]
2959,12380170400.00,s
2960,12380257000.00,3
2961,12380343800.00,0
2962,12380430400.00,9
2963,12380517200.00,8
2964,12380603800.00,8
2965,12380690400.00,[20]
2966,12380777200.00,r
2967,12380863800.00,8
2968,12380950400.00,1
2969,12381037200.00,9
2970,12381123800.00,2
2971,12381210600.00,[20]
2972,12381297200.00,d
2973,12381383800.00,2
2974,12381470600.00,2
2975,12381557200.00,2
2976,12381643800.00,6
2977,12381730600.00,0
2978,12381817200.00,[20]
2979,12381904000.00,u
2980,12381990600.00,6
2981,12382077200.00,1
2982,12382164000.00,4
2983,12382250600.00,4
2984,12382337400.00,0
2985,12382424000.00,[0D]
2986,12382510600.00,[0A]
2987,12382620000.00,[
2988,12382706800.00,[20]
2989,12382793400.00,[20]
2990,12382880200.00,[20]
2991,12382966800.00,[20]
2992,12383053400.00,0
2993,12383140200.00,.
2994,12383226800.00,0
2995,12383313600.00,0
2996,12383400200.00,0
2997,12383486800.00,0
2998,12383573600.00,0
2999,12383660200.00,0
3000,12383746800.00,]
3001,12383833600.00,[20]
3002,12383920200.00,B
3003,12384007000.00,u
3004,12384093600.00,i
3005,12384180200.00,l
3006,12384267000.00,t
3007,12384353600.00,[20]
3008,12384440200.00,1
3009,12384527000.00,[20]
3010,12384613600.00,z
3011,12384700400.00,o
3012,12384787000.00,n
3013,12384873600.00,e
3014,12384960400.00,l
3015,12385047000.00,i
3016,12385133800.00,s
3017,12385220400.00,t
3018,12385307000.00,s
3019,12385393800.00,,
3020,12385480400.00,[20]
3021,12385567000.00,m
3022,12385653800.00,o
3023,12385740400.00,b
3024,12385827200.00,i
3025,12385913800.00,l
3026,12386000400.00,i
3027,12386087200.00,t
3028,12386173800.00,y
3029,12386260600.00,[20]
3030,12386347200.00,g
3031,12386433800.00,r
3032,12386520600.00,o
3033,12386607200.00,u
3034,12386693800.00,p
3035,12386780600.00,i
3036,12386867200.00,n
3037,12386954000.00,g
3038,12387040600.00,[20]
3039,12387127200.00,o
3040,12387214000.00,n
3041,12387300600.00,.
3042,12387387400.00,[20]
3043,12387474000.00,[20]
3044,12387560600.00,T
3045,12387647400.00,o
3046,12387734000.00,t
3047,12387820600.00,a
3048,12387907400.00,l
3049,12387994000.00,[20]
3050,12388080800.00,p
3051,12388167400.00,a
3052,12388254000.00,g
3053,12388340800.00,e
3054,12388427400.00,s
3055,12388514000.00,:
3056,12388600800.00,[20]
3057,12388687400.00,2
3058,12388774200.00,6
3059,12388860800.00,0
3060,12388947400.00,6
3061,12389034200.00,0
3062,12389120800.00,8
3063,12389207600.00,[0D]
3064,12389294200.00,[0A]
3065,12389405200.00,[
3066,12389492000.00,[20]
3067,12389578600.00,[20]
3068,12389665200.00,[20]
3069,12389752000.00,[20]
3070,12389838600.00,0
3071,12389925400.00,.
3072,12390012000.00,0
3073,12390098600.00,0
3074,12390185400.00,0
3075,12390272000.00,0
3076,12390358600.00,0
3077,12390445400.00,0
3078,12390532000.00,]
3079,12390618800.00,[20]
3080,12390705400.00,K
3081,12390792000.00,e
3082,12390878800.00,r
3083,12390965400.00,n
3084,12391052000.00,e
3085,12391138800.00,l
3086,12391225400.00,[20]
3087,12391312200.00,c
3088,12391398800.00,o
3089,12391485400.00,m
3090,12391572200.00,m
3091,12391658800.00,a
3092,12391745600.00,n
3093,12391832200.00,d
3094,12391918800.00,[20]
3095,12392005600.00,l
3096,12392092200.00,i
3097,12392178800.00,n
3098,12392265600.00,e
3099,12392352200.00,:
3100,12392439000.00,[20]
3101,12392525600.00,c
3102,12392612200.00,o
3103,12392699000.00,n
3104,12392785600.00,s
3105,12392872400.00,o
3106,12392959000.00,l
3107,12393045600.00,e
3108,12393132400.00,=
3109,12393219000.00,t
3110,12393305600.00,t
3111,12393392400.00,y
3112,12393479000.00,S
3113,12393565800.00,0
3114,12393652400.00,,
3115,12393739000.00,1
3116,12393825800.00,1
3117,12393912400.00,5
3118,12393999000.00,2
3119,12394085800.00,0
3120,12394172400.00,0
3121,12394259200.00,[20]
3122,12394345800.00,r
3123,12394432400.00,o
3124,12394519200.00,o
3125,12394605800.00,t
3126,12394692600.00,=
3127,12394779200.00,/
3128,12394865800.00,d
3129,12394952600.00,e
3130,12395039200.00,v
3131,12395125800.00,/
3132,12395212600.00,m
3133,12395299200.00,m
3134,12395386000.00,c
3135,12395472600.00,b
3136,12395559200.00,l
3137,12395646000.00,k
3138,12395732600.00,1
3139,12395819400.00,p
3140,12395906000.00,2
3141,12395992600.00,[20]
3142,12396079400.00,r
3143,12396166000.00,o
3144,12396252600.00,o
3145,12396339400.00,t
3146,12396426000.00,w
3147,12396512800.00,a
3148,12396599400.00,i
3149,12396686000.00,t
3150,12396772800.00,[20]
3151,12396859400.00,p
3152,12396946200.00,a
3153,12397032800.00,n
3154,12397119400.00,i
3155,12397206200.00,c
3156,12397292800.00,=
3157,12397379400.00,1
3158,12397466200.00,0
3159,12397552800.00,[20]
3160,12397639600.00,f
3161,12397726200.00,b
3162,12397812800.00,c
3163,12397899600.00,o
3164,12397986200.00,n
3165,12398072800.00,=
3166,12398159600.00,r
3167,12398246200.00,o
3168,12398333000.00,t
3169,12398419600.00,a
3170,12398506200.00,t
3171,12398593000.00,e
3172,12398679600.00,:
3173,12398766400.00,3
3174,12398853000.00,[20]
3175,12398939600.00,[0D]
3176,12399026400.00,[0A]
3177,12399113000.00,[
3178,12399199600.00,[20]
3179,12399286400.00,[20]
3180,12399373000.00,[20]
3181,12399459800.00,[20]
3182,12399546400.00,0
3183,12399633000.00,.
3184,12399719800.00,0
3185,12399806400.00,0
3186,12399893200.00,0
3187,12399979800.00,0
3188,12400066400.00,0
3189,12400153200.00,0
3190,12400239800.00,]
3191,12400326400.00,[20]
3192,12400413200.00,v
3193,12400499800.00,i
3194,12400586600.00,d
3195,12400673200.00,e
3196,12400759800.00,o
3197,12400846600.00,=
3198,12400933200.00,V
3199,12401019800.00,G
3200,12401106600.00,A
3201,12401193200.00,:
3202,12401280000.00,4
3203,12401366600.00,8
3204,12401453200.00,0
3205,12401540000.00,x
3206,12401626600.00,8
3207,12401713400.00,0
3208,12401800000.00,0
3209,12401886600.00,[20]
3210,12401973400.00,[0D]
3211,12402060000.00,[0A]
3212,12402146600.00,[
3213,12402233400.00,[20]
3214,12402320000.00,[20]
3215,12402406800.00,[20]
3216,12402493400.00,[20]
3217,12402580000.00,0
3218,12402666800.00,.
3219,12402753400.00,0
3220,12402840200.00,0
3221,12402926800.00,0
3222,12403013400.00,0
3223,12403100200.00,0
3224,12403186800.00,0
3225,12403273400.00,]
3226,12403360200.00,[20]
3227,12403446800.00,s
3228,12403533600.00,p
3229,12403620200.00,l
3230,12403706800.00,a
3231,12403793600.00,s
3232,12403880200.00,h
3233,12403967000.00,i
3234,12404053600.00,m
3235,12404140200.00,a
3236,12404227000.00,g
3237,12404313600.00,e
3238,12404400200.00,=
3239,12404487000.00,0
3240,12404573600.00,x
3241,12404660400.00,4
3242,12404747000.00,0
3243,12404833600.00,0
3244,12404920400.00,0
3245,12405007000.00,0
3246,12405093600.00,0
3247,12405180400.00,0
3248,12405267000.00,0
3249,12405353800.00,[20]
3250,12405440400.00,[0D]
3251,12405527000.00,[0A]
3252,12405613800.00,[
3253,12405700400.00,[20]
3254,12405787200.00,[20]
3255,12405873800.00,[20]
3256,12405960400.00,[20]
3257,12406047200.00,0
3258,12406133800.00,.
3259,12406220400.00,0
3260,12406307200.00,0
3261,12406393800.00,0
3262,12406480600.00,0
3263,12406567200.00,0
3264,12406653800.00,0
3265,12406740600.00,]
3266,12406827200.00,[20]
3267,12406914000.00,s
3268,12407000600.00,p
3269,12407087200.00,l
3270,12407174000.00,a
3271,12407260600.00,s
3272,12407347200.00,h
3273,12407434000.00,s
3274,12407520600.00,o
3275,12407607400.00,u
3276,12407694000.00,r
3277,12407780600.00,c
3278,12407867400.00,e
3279,12407954000.00,=
3280,12408040600.00,m
3281,12408127400.00,m
3282,12408214000.00,c
3283,12408300800.00,_
3284,12408387400.00,f
3285,12408474000.00,s
3286,12408560800.00,[20]
3287,12408647400.00,[0D]
3288,12408734200.00,[0A]
3289,12408820800.00,[
3290,12408907400.00,[20]
3291,12408994200.00,[20]
3292,12409080800.00,[20]
3293,12409167400.00,[20]
3294,12409254200.00,0
3295,12409340800.00,.
3296,12409427600.00,0
3297,12409514200.00,0
3298,12409600800.00,0
3299,12409687600.00,0
3300,12409774200.00,0
3301,12409861000.00,0
3302,12409947600.00,]
3303,12410034200.00,[20]
3304,12410121000.00,s
3305,12410207600.00,p
3306,12410294200.00,l
3307,12410381000.00,a
3308,12410467600.00,s
3309,12410554400.00,h
3310,12410641000.00,p
3311,12410727600.00,o
3312,12410814400.00,s
3313,12410901000.00,=
3314,12410987800.00,m
3315,12411074400.00,,
3316,12411161000.00,m
3317,12411247800.00,[0D]
3318,12411334400.00,[0A]
3319,12411443200.00,[
3320,12411530000.00,[20]
3321,12411616600.00,[20]
3322,12411703400.00,[20]
3323,12411790000.00,[20]
3324,12411876600.00,0
3325,12411963400.00,.
3326,12412050000.00,0
3327,12412136800.00,0
3328,12412223400.00,0
3329,12412310000.00,0
3330,12412396800.00,0
3331,12412483400.00,0
3332,12412570000.00,]
3333,12412656800.00,[20]
3334,12412743400.00,D
3335,12412830200.00,e
3336,12412916800.00,n
3337,12413003400.00,t
3338,12413090200.00,r
3339,12413176800.00,y
3340,12413263600.00,[20]
3341,12413350200.00,c
3342,12413436800.00,a
3343,12413523600.00,c
3344,12413610200.00,h
3345,12413696800.00,e
3346,12413783600.00,[20]
3347,12413870200.00,h
3348,12413957000.00,a
3349,12414043600.00,s
3350,12414130200.00,h
3351,12414217000.00,[20]
3352,12414303600.00,t
3353,12414390200.00,a
3354,12414477000.00,b
3355,12414563600.00,l
3356,12414650400.00,e
3357,12414737000.00,[20]
3358,12414823600.00,e
3359,12414910400.00,n
3360,12414997000.00,t
3361,12415083800.00,r
3362,12415170400.00,i
3363,12415257000.00,e
3364,12415343800.00,s
3365,12415430400.00,:
3366,12415517000.00,[20]
3367,12415603800.00,1
3368,12415690400.00,3
3369,12415777200.00,1
3370,12415863800.00,0
3371,12415950400.00,7
3372,12416037200.00,2
3373,12416123800.00,[20]
3374,12416210600.00,(
3375,12416297200.00,o
3376,12416383800.00,r
3377,12416470600.00,d
3378,12416557200.00,e
3379,12416643800.00,r
3380,12416730600.00,:
3381,12416817200.00,[20]
3382,12416904000.00,7
3383,12416990600.00,,
3384,12417077200.00,[20]
3385,12417164000.00,5
3386,12417250600.00,2
3387,12417337400.00,4
3388,12417424000.00,2
3389,12417510600.00,8
3390,12417597400.00,8
3391,12417684000.00,[20]
3392,12417770600.00,b
3393,12417857400.00,y
3394,12417944000.00,t
3395,12418030800.00,e
3396,12418117400.00,s
3397,12418204000.00,,
3398,12418290800.00,[20]
3399,12418377400.00,l
3400,12418464000.00,i
3401,12418550800.00,n
3402,12418637400.00,e
3403,12418724200.00,a
3404,12418810800.00,r
3405,12418897400.00,)
3406,12418984200.00,[0D]
3407,12419070800.00,[0A]
3408,12419180200.00,[
3409,12419267000.00,[20]
3410,12419353600.00,[20]
3411,12419440200.00,[20]
3412,12419527000.00,[20]
3413,12419613600.00,0
3414,12419700400.00,.
3415,12419787000.00,0
3416,12419873600.00,0
3417,12419960400.00,0
3418,12420047000.00,0
3419,12420133800.00,0
3420,12420220400.00,0
3421,12420307000.00,]
3422,12420393800.00,[20]
3423,12420480400.00,I
3424,12420567000.00,n
3425,12420653800.00,o
3426,12420740400.00,d
3427,12420827200.00,e
3428,12420913800.00,-
3429,12421000400.00,c
3430,12421087200.00,a
3431,12421173800.00,c
3432,12421260400.00,h
3433,12421347200.00,e
3434,12421433800.00,[20]
3435,12421520600.00,h
3436,12421607200.00,a
3437,12421693800.00,s
3438,12421780600.00,h
3439,12421867200.00,[20]
