Id,Time[ns],0:UART: RX/TX
275,9350235600.00,o
276,9350322400.00,g
277,9350409000.00,o
278,9350495600.00,[20]
279,9350582400.00,.
280,9350669000.00,.
281,9350755800.00,.
282,9350842400.00,[0D]
283,9350929000.00,[0A]
284,9351015800.00,V
285,9351102400.00,i
286,9351189200.00,d
287,9351275800.00,e
288,9351362400.00,o
289,9351449200.00,:
290,9351535800.00,[20]
291,9351622400.00,C
292,9351709200.00,a
293,9351795800.00,l
294,9351882600.00,l
295,9351969200.00,[20]
296,9352055800.00,v
297,9352142600.00,i
298,9352229200.00,d
299,9352315800.00,e
300,9352402600.00,o
301,9352489200.00,_
302,9352576000.00,l
303,9352662600.00,o
304,9352749200.00,g
305,9352836000.00,o
306,9352922600.00,(
307,9353009400.00,)
308,9353096000.00,[0D]
309,9353182600.00,[0A]
310,9353269400.00,V
311,9353356000.00,i
312,9353442600.00,d
313,9353529400.00,e
314,9353616000.00,o
315,9353702800.00,:
316,9353789400.00,[20]
317,9353876000.00,s
318,9353962800.00,p
319,9354049400.00,l
320,9354136200.00,a
321,9354222800.00,s
322,9354309400.00,h
323,9354396200.00,i
324,9354482800.00,m
325,9354569400.00,a
326,9354656200.00,g
327,9354742800.00,e
328,9354829600.00,[20]
329,9354916200.00,=
330,9355002800.00,[20]
331,9355089600.00,0
332,9355176200.00,x
333,9355262800.00,4
334,9355349600.00,0
335,9355436200.00,0
336,9355523000.00,0
337,9355609600.00,0
338,9355696200.00,0
339,9355783000.00,0
340,9355869600.00,0
341,9355956400.00,[0D]
342,9356043000.00,[0A]
343,9356129600.00,V
344,9356216400.00,i
345,9356303000.00,d
346,9356389600.00,e
347,9356476400.00,o
348,9356563000.00,:
349,9356649800.00,[20]
350,9356736400.00,C
351,9356823000.00,a
352,9356909800.00,l
353,9356996400.00,l
354,9357083200.00,[20]
355,9357169800.00,s
356,9357256400.00,p
357,9357343200.00,l
358,9357429800.00,a
359,9357516400.00,s
360,9357603200.00,h
361,9357689800.00,_
362,9357776600.00,s
363,9357863200.00,c
364,9357949800.00,r
365,9358036600.00,e
366,9358123200.00,e
367,9358210000.00,n
368,9358296600.00,_
369,9358383200.00,p
370,9358470000.00,r
371,9358556600.00,e
372,9358643200.00,p
373,9358730000.00,a
374,9358816600.00,r
375,9358903400.00,e
376,9358990000.00,(
377,9359076600.00,)
378,9359163400.00,[0D]
379,9359250000.00,[0A]
380,9359336600.00,V
381,9359423400.00,i
382,9359510000.00,d
383,9359596800.00,e
384,9359683400.00,o
385,9359770000.00,:
386,9359856800.00,[20]
387,9359943400.00,C
388,9360030200.00,a
389,9360116800.00,l
390,9360203400.00,l
391,9360290200.00,[20]
392,9360376800.00,s
393,9360463400.00,p
394,9360550200.00,l
395,9360636800.00,a
396,9360723600.00,s
397,9360810200.00,h
398,9360896800.00,_
399,9360983600.00,s
400,9361070200.00,o
401,9361157000.00,u
402,9361243600.00,r
403,9361330200.00,c
404,9361417000.00,e
405,9361503600.00,_
406,9361590200.00,l
407,9361677000.00,o
408,9361763600.00,a
409,9361850400.00,d
410,9361937000.00,(
411,9362023600.00,)
412,9362110400.00,,
413,9362197000.00,[20]
414,9362283800.00,s
415,9362370400.00,t
416,9362457000.00,o
417,9362543800.00,r
418,9362630400.00,a
419,9362717000.00,g
420,9362803800.00,e
421,9362890400.00,[20]
422,9362977200.00,=
423,9363063800.00,[20]
424,9363150400.00,M
425,9363237200.00,M
426,9363323800.00,C
427,9363410400.00,[0D]
428,9363497200.00,[0A]
429,9363583800.00,V
430,9363670600.00,i
431,9363757200.00,d
432,9363843800.00,e
433,9363930600.00,o
434,9364017200.00,:
435,9364104000.00,[20]
436,9364190600.00,s
437,9364277200.00,p
438,9364364000.00,l
439,9364450600.00,a
440,9364537200.00,s
441,9364624000.00,h
442,9364710600.00,s
443,9364797400.00,o
444,9364884000.00,u
445,9364970600.00,r
446,9365057400.00,c
447,9365144000.00,e
448,9365230800.00,[20]
449,9365317400.00,=
450,9365404000.00,[20]
451,9365490800.00,m
452,9365577400.00,m
453,9365664000.00,c
454,9365750800.00,_
455,9365837400.00,f
456,9365924200.00,s
457,9366010800.00,[0D]
458,9366097400.00,[0A]
459,9399861800.00,r
460,9399948400.00,e
461,9400035200.00,a
462,9400121800.00,d
463,9400208400.00,i
464,9400295200.00,n
465,9400381800.00,g
466,9400468600.00,[20]
467,9400555200.00,l
468,9400641800.00,o
469,9400728600.00,g
470,9400815200.00,o
471,9400901800.00,.
472,9400988600.00,b
473,9401075200.00,m
474,9401162000.00,p
475,9401248600.00,[0D]
476,9401335200.00,[0A]
477,9416025800.00,I
478,9416112600.00,n
479,9416199200.00,:
480,9416285800.00,[20]
481,9416372600.00,[20]
482,9416459200.00,[20]
483,9416546000.00,[20]
484,9416632600.00,s
485,9416719200.00,e
486,9416806000.00,r
487,9416892600.00,i
488,9416979400.00,a
489,9417066000.00,l
490,9417152600.00,[0D]
491,9417239400.00,[0A]
492,9417326000.00,O
493,9417412600.00,u
494,9417499400.00,t
495,9417586000.00,:
496,9417672800.00,[20]
497,9417759400.00,[20]
498,9417846000.00,[20]
499,9417932800.00,s
500,9418019400.00,e
501,9418106200.00,r
502,9418192800.00,i
503,9418279400.00,a
504,9418366200.00,l
505,9418452800.00,[0D]
506,9418539400.00,[0A]
507,9418626200.00,E
508,9418712800.00,r
509,9418799600.00,r
510,9418886200.00,:
511,9418972800.00,[20]
512,9419059600.00,[20]
513,9419146200.00,[20]
514,9419233000.00,s
515,9419319600.00,e
516,9419406200.00,r
517,9419493000.00,i
518,9419579600.00,a
519,9419666200.00,l
520,9419753000.00,[0D]
521,9419839600.00,[0A]
522,9420307600.00,A
523,9420394400.00,l
524,9420481000.00,l
525,9420567800.00,w
526,9420654400.00,i
527,9420741000.00,n
528,9420827800.00,n
529,9420914400.00,e
530,9421001200.00,r
531,9421087800.00,[20]
532,9421174400.00,m
533,9421261200.00,U
534,9421347800.00,S
535,9421434400.00,B
536,9421521200.00,[20]
537,9421607800.00,O
538,9421694600.00,T
539,9421781200.00,G
540,9421867800.00,[20]
541,9421954600.00,(
542,9422041200.00,P
543,9422127800.00,e
544,9422214600.00,r
545,9422301200.00,i
546,9422388000.00,p
547,9422474600.00,h
548,9422561200.00,e
549,9422648000.00,r
550,9422734600.00,a
551,9422821400.00,l
552,9422908000.00,)
553,9422994600.00,[0D]
554,9423081400.00,[0A]
555,9423168000.00,N
556,9423254600.00,e
557,9423341400.00,t
558,9423428000.00,:
559,9423514800.00,[20]
560,9423601400.00,[20]
561,9423688000.00,[20]
562,9423774800.00,[0D]
563,9423861400.00,[0A]
564,9423948200.00,W
565,9424034800.00,a
566,9424121400.00,r
567,9424208200.00,n
568,9424294800.00,i
569,9424381400.00,n
570,9424468200.00,g
571,9424554800.00,:
572,9424641600.00,[20]
573,9424728200.00,u
574,9424814800.00,s
575,9424901600.00,b
576,9424988200.00,_
577,9425075000.00,e
578,9425161600.00,t
579,9425248200.00,h
580,9425335000.00,e
581,9425421600.00,r
582,9425508200.00,[20]
583,9425595000.00,u
584,9425681600.00,s
585,9425768400.00,i
586,9425855000.00,n
587,9425941600.00,g
588,9426028400.00,[20]
589,9426115000.00,M
590,9426201600.00,A
591,9426288400.00,C
592,9426375000.00,[20]
593,9426461800.00,a
594,9426548400.00,d
595,9426635000.00,d
596,9426721800.00,r
597,9426808400.00,e
598,9426895200.00,s
599,9426981800.00,s
600,9427068400.00,[20]
601,9427155200.00,f
602,9427241800.00,r
603,9427328400.00,o
604,9427415200.00,m
605,9427501800.00,[20]
606,9427588600.00,R
607,9427675200.00,O
608,9427761800.00,M
609,9427848600.00,[0D]
610,9427935200.00,[0A]
611,9428022000.00,e
612,9428108600.00,t
613,9428195200.00,h
614,9428282000.00,0
615,9428368600.00,:
616,9428455200.00,[20]
617,9428542000.00,u
618,9428628600.00,s
619,9428715400.00,b
620,9428802000.00,_
621,9428888600.00,e
622,9428975400.00,t
623,9429062000.00,h
624,9429148800.00,e
625,9429235400.00,r
626,9429322000.00,[0D]
627,9429408800.00,[0A]
628,9429495400.00,s
629,9429582000.00,t
630,9429668800.00,a
631,9429755400.00,r
632,9429842200.00,t
633,9429928800.00,i
634,9430015400.00,n
635,9430102200.00,g
636,9430188800.00,[20]
637,9430275400.00,U
638,9430362200.00,S
639,9430448800.00,B
640,9430535600.00,.
641,9430622200.00,.
642,9430708800.00,.
643,9430795600.00,[0D]
644,9430882200.00,[0A]
645,9430969000.00,U
646,9431055600.00,S
647,9431142200.00,B
648,9431229000.00,0
649,9431315600.00,:
650,9431402200.00,[20]
651,9431489000.00,[20]
652,9431575600.00,[20]
653,9436685800.00,U
654,9436772400.00,S
655,9436859200.00,B
656,9436945800.00,[20]
657,9437032400.00,E
658,9437119200.00,H
659,9437205800.00,C
660,9437292600.00,I
661,9437379200.00,[20]
662,9437465800.00,1
663,9437552600.00,.
664,9437639200.00,0
665,9437725800.00,0
666,9437812600.00,[0D]
667,9437899200.00,[0A]
668,9437986000.00,U
669,9438072600.00,S
670,9438159200.00,B
671,9438246000.00,1
672,9438332600.00,:
673,9438419200.00,[20]
674,9438506000.00,[20]
675,9438592600.00,[20]
676,9438731800.00,U
677,9438818600.00,S
678,9438905200.00,B
679,9438992000.00,[20]
680,9439078600.00,O
681,9439165200.00,H
682,9439252000.00,C
683,9439338600.00,I
684,9439425200.00,[20]
685,9439512000.00,1
686,9439598600.00,.
687,9439685400.00,0
688,9439772000.00,[0D]
689,9439858600.00,[0A]
690,9439945400.00,s
