; CSV, generated by libsigrok4DSL 0.2.0 on Sun May 11 19:32:02 2025
; Channels (16/16)
; Sample rate: 5 MHz
; Sample count: 407.390720 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
7.4839618,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4839792,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4839878,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4840138,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4840312,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4840398,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4840572,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4840658,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4840744,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4840832,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4840918,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4841004,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4841092,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4841264,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4841438,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4841524,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4841612,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4841784,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4841958,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4842132,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4842306,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4842392,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4842478,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4842738,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4842826,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4842912,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4843172,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4843258,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4843346,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4843866,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4843952,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4844126,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4844212,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4844298,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4844646,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4844732,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4844906,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4844992,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4845078,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4845252,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4845426,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4845512,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4845772,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4845858,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4845946,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4846032,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4846118,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4846206,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4846292,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4846466,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4846638,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4846726,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4846812,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4846986,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4847072,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4847246,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
